id,latitude,longitude,location,vehicle_number,vehicle_type,description,violation_type,offence_code,created_datetime,closed_datetime,modified_datetime,device_id,created_by_id,center_code,police_station,data_sent_to_scita,junction_name,action_taken_timestamp,data_sent_to_scita_timestamp,updated_vehicle_number,updated_vehicle_type,validation_status,validation_timestamp
FKID000015,12.9943783,77.61564,"Coles Road, Ranka D Paradise, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",FKN00GL0015,SCOOTER,NULL,"[""NO PARKING""]",[113],2023-11-28 06:56:46+00,NULL,2023-11-28 07:00:43.68978+00,FKDEV00010,FKUSR00010,14,Pulikeshinagar(F.Town),TRUE,No Junction,NULL,NULL,FKN00GL0015,SCOOTER,approved,2023-11-30 04:37:39.874+00
FKID000016,12.9943783,77.61564,"Coles Road, Ranka D Paradise, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",FKN00GL0016,SCOOTER,NULL,"[""NO PARKING""]",[113],2023-11-28 06:57:46+00,NULL,2023-11-28 07:00:45.101097+00,FKDEV00010,FKUSR00010,14,Pulikeshinagar(F.Town),TRUE,No Junction,NULL,NULL,FKN00GL0016,SCOOTER,approved,2023-11-30 04:37:34.994+00
FKID000017,12.994455,77.6155883,"Coles Road, Ranka D Paradise, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",FKN00GL0017,SCOOTER,NULL,"[""NO PARKING""]",[113],2023-11-28 06:57:46+00,NULL,2023-11-28 07:01:28.276715+00,FKDEV00010,FKUSR00010,14,Pulikeshinagar(F.Town),TRUE,No Junction,NULL,NULL,FKN00GL0017,SCOOTER,rejected,2023-11-30 04:37:56.68+00
FKID000018,12.994455,77.6155883,"Coles Road, Ranka D Paradise, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",FKN00GL0018,SCOOTER,NULL,"[""NO PARKING""]",[113],2023-11-28 07:00:46+00,NULL,2023-11-28 07:01:28.857912+00,FKDEV00010,FKUSR00010,14,Pulikeshinagar(F.Town),TRUE,No Junction,NULL,NULL,FKN00GL0018,SCOOTER,rejected,2023-11-30 04:37:58.282+00
FKID000019,12.912504769635532,77.63381218775751,"17th Cross Road, Sector 7, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",FKN00GL0019,SCOOTER,NULL,"[""WRONG PARKING""]",[112],2023-11-26 08:11:46+00,NULL,2023-11-27 21:01:00.594232+00,FKDEV00011,FKUSR00011,45,HSR Layout,TRUE,No Junction,NULL,NULL,FKN00GL0019,SCOOTER,approved,2023-11-30 04:37:54.775+00
FKID000020,12.9818638,77.6076237,"Dispensary Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL0020,SCOOTER,NULL,"[""WRONG PARKING""]",[112],2023-11-17 05:07:46+00,NULL,2023-11-17 05:14:46.028853+00,FKDEV00012,FKUSR00012,16,Shivajinagar,TRUE,BTP051 - Safina Plaza Junction,NULL,NULL,FKN00GL0020,SCOOTER,approved,2023-11-18 23:50:57.339+00
FKID000021,12.8788916,77.5455426,"Konanakunte Main Road, SV Jasmine, BCMC Layout, Raghuvanahalli, Bengaluru, Karnataka. Pin-560062 (India)",FKN00GL0021,SCOOTER,NULL,"[""WRONG PARKING""]",[112],2023-11-16 01:03:46+00,NULL,2023-11-18 04:35:36.175195+00,FKDEV00013,FKUSR00013,83,Thalagattapura,TRUE,No Junction,NULL,NULL,FKN00GL0021,SCOOTER,rejected,2023-11-18 23:52:14.338+00
FKID000022,13.0081888,77.6940167,"MBT Road, Devasandra Junction, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)",FKN00GL0022,CAR,NULL,"[""NO PARKING""]",[113],2023-11-28 06:47:46+00,NULL,2023-11-28 06:58:07.026088+00,FKDEV00014,FKUSR00014,15,K.R. Pura,TRUE,No Junction,NULL,NULL,FKN00GL0022,CAR,approved,2023-11-30 04:39:10.109+00
FKID000023,12.899345,77.6755017,"Amrutha College Road, Azalea, Owners Court Layout, Kasavanahalli, Bengaluru, Karnataka. Pin-560035 (India)",FKN00GL0023,SCOOTER,NULL,"[""NO PARKING""]",[113],2023-11-20 02:20:46+00,NULL,2023-11-20 02:26:14.689345+00,FKDEV00015,FKUSR00015,82,Bellandur,FALSE,No Junction,NULL,NULL,NULL,NULL,NULL,NULL
FKID000024,12.934068071777288,77.68976915672452,"Outer Ring Road, Prestige Silver Crest, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",FKN00GL0024,MOTOR CYCLE,NULL,"[""WRONG PARKING"",""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""DOUBLE PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING IN A MAIN ROAD""]","[112,113,111,109,108,107]",2024-03-14 22:43:46+00,NULL,2024-03-14 23:14:11.93647+00,FKDEV00016,FKUSR00016,13,HAL Old Airport,TRUE,No Junction,NULL,2024-04-01 17:45:48.438875+00,FKN00GL0024,MOTOR CYCLE,approved,2024-04-12 23:12:41.345+00
FKID000025,12.989134,77.5925278,"Millers Road, BKM Gowda Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL0025,CAR,NULL,"[""WRONG PARKING""]",[112],2023-11-17 22:29:46+00,NULL,2023-11-17 22:34:13.712901+00,FKDEV00017,FKUSR00017,11,High ground,TRUE,BTP034 - LRDE Junction,NULL,NULL,FKN00GL0025,CAR,approved,2023-11-18 23:56:21.58+00
FKID000026,12.9765458,77.5774892,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL0026,CAR,NULL,"[""WRONG PARKING""]",[112],2023-11-28 06:46:46+00,NULL,2023-11-28 06:56:30.473282+00,FKDEV00018,FKUSR00018,3,Upparpet,TRUE,BTP040 - Elite Junction,NULL,NULL,FKN00GL0026,CAR,approved,2023-11-30 04:40:09.759+00
FKID000027,12.934068071777288,77.68976915672452,"Outer Ring Road, Prestige Silver Crest, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",FKN00GL0027,SCOOTER,NULL,"[""NO PARKING"",""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""DOUBLE PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING IN A MAIN ROAD""]","[113,112,111,109,108,107]",2024-03-14 23:10:46+00,NULL,2024-03-14 23:14:14.764896+00,FKDEV00016,FKUSR00016,13,HAL Old Airport,TRUE,No Junction,NULL,2024-04-01 17:45:48.456546+00,FKN00GL0027,SCOOTER,approved,2024-04-14 00:00:39.648+00
FKID000028,12.9763636,77.577423,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL0028,CAR,NULL,"[""WRONG PARKING""]",[112],2023-11-28 06:48:46+00,NULL,2023-11-28 06:56:33.260037+00,FKDEV00018,FKUSR00018,3,Upparpet,TRUE,BTP040 - Elite Junction,NULL,NULL,FKN00GL0028,CAR,approved,2023-11-30 04:40:16.959+00
FKID000029,12.9766493,77.5773587,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL0029,CAR,NULL,"[""WRONG PARKING""]",[112],2023-11-28 06:44:46+00,NULL,2023-11-28 06:56:28.143198+00,FKDEV00018,FKUSR00018,3,Upparpet,TRUE,BTP040 - Elite Junction,NULL,NULL,FKN00GL0029,CAR,approved,2023-11-30 04:40:20.66+00
FKID000030,12.9170676,77.6516121,"27th Main Road, Sector 1, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",FKN00GL0030,SCOOTER,NULL,"[""WRONG PARKING""]",[112],2023-11-17 08:10:46+00,NULL,2023-11-17 19:18:44.598596+00,FKDEV00019,FKUSR00019,45,HSR Layout,TRUE,No Junction,NULL,NULL,FKN00GL0030,SCOOTER,approved,2023-11-17 19:28:22.477+00
FKID000031,13.008236,77.6938222,"MBT Road, Devasandra Junction, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)",FKN00GL0031,SCOOTER,NULL,"[""NO PARKING""]",[113],2023-11-17 18:42:46+00,NULL,2023-11-17 19:15:29.162726+00,FKDEV00008,FKUSR00008,15,K.R. Pura,TRUE,No Junction,NULL,NULL,FKN00GL0031,SCOOTER,approved,2023-11-17 19:28:57.542+00
FKID000032,12.9739617,77.5783701,"Maharaja Times, 8th Cross Road, Balepet, Chikkapete, Chickpete, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560053, India",FKN00GL0032,CAR,NULL,"[""WRONG PARKING""]",[112],2024-03-10 06:12:46+00,NULL,2024-03-10 08:07:07.025136+00,FKDEV00020,FKUSR00020,3,Upparpet,FALSE,BTP044 - Sagar Theatre Junction,NULL,NULL,NULL,NULL,NULL,NULL
FKID000033,13.0665088,77.5702131,"Kodigehalli Road, Virupakshapura, Bengaluru, Karnataka. Pin-560097 (India)",FKN00GL0033,CAR,NULL,"[""WRONG PARKING""]",[112],2024-03-10 05:22:46+00,NULL,2024-03-10 08:08:54.432531+00,FKDEV00021,FKUSR00021,NULL,Kodigehalli,FALSE,No Junction,NULL,NULL,NULL,NULL,NULL,NULL
FKID000034,13.0636063,77.5719658,"Kodigehalli Road, Virupakshapura, Bengaluru, Karnataka. Pin-560097 (India)",FKN00GL0034,CAR,NULL,"[""WRONG PARKING""]",[112],2024-03-10 05:25:46+00,NULL,2024-03-10 08:08:55.27449+00,FKDEV00021,FKUSR00021,NULL,Kodigehalli,FALSE,No Junction,NULL,NULL,NULL,NULL,NULL,NULL
FKID000035,13.0636063,77.5719658,"Kodigehalli Road, Sri Chigaru Marappa Circle, Virupakshapura, Bengaluru, Karnataka. Pin-560097 (India)",FKN00GL0035,CAR,NULL,"[""WRONG PARKING""]",[112],2024-03-10 05:30:46+00,NULL,2024-03-10 08:08:56.201181+00,FKDEV00021,FKUSR00021,NULL,Kodigehalli,FALSE,No Junction,NULL,NULL,NULL,NULL,NULL,NULL
FKID000036,13.0635231,77.5720156,"Kodigehalli Road, Sri Chigaru Marappa Circle, Virupakshapura, Bengaluru, Karnataka. Pin-560097 (India)",FKN00GL0036,GOODS AUTO,NULL,"[""WRONG PARKING""]",[112],2024-03-10 05:30:46+00,NULL,2024-03-10 08:08:56.891983+00,FKDEV00021,FKUSR00021,NULL,Kodigehalli,FALSE,No Junction,NULL,NULL,NULL,NULL,NULL,NULL
FKID000037,13.0453131,77.5055565,"Nelagadaranahalli Main Road, Nelakadirena Halli, T Dasarahalli, Bengaluru, Karnataka. Pin-560073 (India)",FKN00GL0037,SCOOTER,NULL,"[""WRONG PARKING""]",[112],2023-11-17 21:28:46+00,NULL,2023-11-17 21:53:25.671301+00,FKDEV00022,FKUSR00022,20,Peenya,TRUE,No Junction,NULL,NULL,FKN00GL0037,SCOOTER,approved,2023-11-18 23:57:21.917+00
FKID000038,12.996202,77.5631413,"4th Main Road, Nagappa Block, Srirampuram, Bengaluru, Karnataka. Pin-560021 (India)",FKN00GL0038,SCOOTER,NULL,"[""NO PARKING""]",[113],2023-11-18 04:42:46+00,NULL,2023-11-18 04:43:45.833175+00,FKDEV00023,FKUSR00023,87,Sheshadripuram,TRUE,No Junction,NULL,NULL,FKN00GL0038,SCOOTER,approved,2023-11-19 00:00:51.76+00
FKID000039,12.9701331,77.6412858,"12th Main Road, Sony World Junction, Indiranagar, Bengaluru, Karnataka. Pin-560008 (India)",FKN00GL0039,CAR,NULL,"[""NO PARKING""]",[113],2023-11-17 04:25:46+00,NULL,2023-11-17 04:45:11.769215+00,FKDEV00024,FKUSR00024,4,Jeevanbheemanagar,TRUE,No Junction,NULL,NULL,FKN00GL0039,CAR,approved,2023-11-19 00:00:50.531+00
FKID000040,13.0067231,77.6877788,"MBT Road, ITI Township, KR Puram, Bengaluru, Karnataka. Pin-560016 (India)",FKN00GL0040,VAN,NULL,"[""WRONG PARKING""]",[112],2023-11-17 20:26:46+00,NULL,2023-11-17 21:36:53.353294+00,FKDEV00025,FKUSR00025,15,K.R. Pura,TRUE,No Junction,NULL,NULL,FKN00GL0040,VAN,approved,2023-11-19 00:06:37.13+00
FKID000041,12.9397103,77.6954773,"Kadubeesanahalli Underpass, Kadubisanahalli Junction, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",FKN00GL0041,CAR,NULL,"[""PARKING IN A MAIN ROAD"",""WRONG PARKING""]","[107,112]",2023-11-22 01:15:46+00,NULL,2023-11-27 21:53:35.740497+00,FKDEV00026,FKUSR00026,13,HAL Old Airport,TRUE,No Junction,NULL,NULL,FKN00GL0041,CAR,approved,2023-11-30 04:45:45.058+00
FKID000042,13.0714811,77.5677451,"Kodigehalli Road, Uthallappa Layout, Thindlu, Bengaluru, Karnataka. Pin-560097 (India)",FKN00GL0042,CAR,NULL,"[""WRONG PARKING""]",[112],2024-03-10 05:17:46+00,NULL,2024-03-10 08:09:48.691762+00,FKDEV00021,FKUSR00021,NULL,Kodigehalli,FALSE,No Junction,NULL,NULL,NULL,NULL,NULL,NULL
FKID000043,12.9397348,77.6955295,"Kadubeesanahalli Underpass, Kadubisanahalli Junction, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",FKN00GL0043,CAR,NULL,"[""PARKING IN A MAIN ROAD"",""WRONG PARKING""]","[107,112]",2023-11-22 01:14:46+00,NULL,2023-11-27 21:53:32.437605+00,FKDEV00026,FKUSR00026,13,HAL Old Airport,TRUE,No Junction,NULL,NULL,FKN00GL0043,MAXI-CAB,approved,2023-11-30 04:45:54.483+00
FKID000044,12.9755693,77.5816368,"Y Ramachandra Road, Maharani College Junction, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL0044,CAR,NULL,"[""NO PARKING""]",[113],2023-12-17 06:07:46+00,NULL,2023-12-19 05:20:21.200377+00,FKDEV00027,FKUSR00027,3,Upparpet,FALSE,BTP038 - Mysore Bank Junction,NULL,NULL,NULL,NULL,NULL,NULL
FKID000045,12.9397473,77.6955013,"Kadubeesanahalli Underpass, Kadubisanahalli Junction, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",FKN00GL0045,CAR,NULL,"[""PARKING IN A MAIN ROAD"",""WRONG PARKING""]","[107,112]",2023-11-22 01:14:46+00,NULL,2023-11-27 21:53:34.896522+00,FKDEV00026,FKUSR00026,13,HAL Old Airport,TRUE,No Junction,NULL,NULL,FKN00GL0045,MAXI-CAB,approved,2023-11-30 04:46:07.88+00
FKID000046,12.9397338,77.6954854,"Kadubeesanahalli Underpass, Kadubisanahalli Junction, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",FKN00GL0046,CAR,NULL,"[""PARKING IN A MAIN ROAD"",""WRONG PARKING""]","[107,112]",2023-11-22 01:14:46+00,NULL,2023-11-27 21:53:33.137219+00,FKDEV00026,FKUSR00026,13,HAL Old Airport,TRUE,No Junction,NULL,NULL,FKN00GL0046,MAXI-CAB,approved,2023-11-30 04:46:30.965+00
FKID000047,12.8418527,77.6453018,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0047,SCOOTER,NULL,"[""WRONG PARKING""]",[112],2024-03-10 07:10:46+00,NULL,2024-03-10 07:43:19.027147+00,FKDEV00028,FKUSR00028,38,Electronic City,FALSE,No Junction,NULL,NULL,NULL,NULL,NULL,NULL
FKID000048,12.8418527,77.6453018,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0047,SCOOTER,NULL,"[""WRONG PARKING""]",[112],2024-03-10 07:10:46+00,NULL,2024-03-10 07:43:20.888249+00,FKDEV00028,FKUSR00028,38,Electronic City,FALSE,No Junction,NULL,NULL,NULL,NULL,NULL,NULL
FKID000049,12.8418527,77.6453018,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0047,SCOOTER,NULL,"[""WRONG PARKING""]",[112],2024-03-10 07:10:46+00,NULL,2024-03-10 07:43:35.793398+00,FKDEV00028,FKUSR00028,38,Electronic City,FALSE,No Junction,NULL,NULL,NULL,NULL,NULL,NULL
FKID000050,12.8418833,77.6453453,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0048,MOTOR CYCLE,NULL,"[""WRONG PARKING""]",[112],2024-03-10 07:10:46+00,NULL,2024-03-10 07:43:34.565101+00,FKDEV00028,FKUSR00028,38,Electronic City,FALSE,No Junction,NULL,NULL,NULL,NULL,NULL,NULL
FKID000051,12.8418833,77.6453453,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0048,MOTOR CYCLE,NULL,"[""WRONG PARKING""]",[112],2024-03-10 07:10:46+00,NULL,2024-03-10 07:43:41.075058+00,FKDEV00028,FKUSR00028,38,Electronic City,FALSE,No Junction,NULL,NULL,NULL,NULL,NULL,NULL
FKID000052,12.8418833,77.6453453,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0048,MOTOR CYCLE,NULL,"[""WRONG PARKING""]",[112],2024-03-10 07:10:46+00,NULL,2024-03-10 07:43:42.233339+00,FKDEV00028,FKUSR00028,38,Electronic City,FALSE,No Junction,NULL,NULL,NULL,NULL,NULL,NULL
FKID000053,12.8418833,77.6453453,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0048,MOTOR CYCLE,NULL,"[""WRONG PARKING""]",[112],2024-03-10 07:10:46+00,NULL,2024-03-10 07:44:01.194339+00,FKDEV00028,FKUSR00028,38,Electronic City,FALSE,No Junction,NULL,NULL,NULL,NULL,NULL,NULL
FKID000054,12.8419042,77.6454993,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0049,SCOOTER,NULL,"[""WRONG PARKING""]",[112],2024-03-10 07:11:46+00,NULL,2024-03-10 07:43:58.209654+00,FKDEV00028,FKUSR00028,38,Electronic City,FALSE,No Junction,NULL,NULL,NULL,NULL,NULL,NULL
FKID000055,12.8419042,77.6454993,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0049,SCOOTER,NULL,"[""WRONG PARKING""]",[112],2024-03-10 07:11:46+00,NULL,2024-03-10 07:44:00.633755+00,FKDEV00028,FKUSR00028,38,Electronic City,FALSE,No Junction,NULL,NULL,NULL,NULL,NULL,NULL
FKID000056,12.8419042,77.6454993,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0049,SCOOTER,NULL,"[""WRONG PARKING""]",[112],2024-03-10 07:11:46+00,NULL,2024-03-10 07:44:12.780732+00,FKDEV00028,FKUSR00028,38,Electronic City,FALSE,No Junction,NULL,NULL,NULL,NULL,NULL,NULL
FKID000057,12.841905,77.6455267,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0050,MOTOR CYCLE,NULL,"[""WRONG PARKING""]",[112],2024-03-10 07:11:46+00,NULL,2024-03-10 07:44:39.679082+00,FKDEV00028,FKUSR00028,38,Electronic City,FALSE,No Junction,NULL,NULL,NULL,NULL,NULL,NULL
FKID000058,12.8419016,77.6455174,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0051,SCOOTER,NULL,"[""WRONG PARKING""]",[112],2024-03-10 07:12:46+00,NULL,2024-03-10 07:44:22.239734+00,FKDEV00028,FKUSR00028,38,Electronic City,FALSE,No Junction,NULL,NULL,NULL,NULL,NULL,NULL
FKID000059,12.8419016,77.6455174,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",FKN00GL0051,SCOOTER,NULL,"[""WRONG PARKING""]",[112],2024-03-10 07:12:46+00,NULL,2024-03-10 07:44:40.555696+00,FKDEV00028,FKUSR00028,38,Electronic City,FALSE,No Junction,NULL,NULL,NULL,NULL,NULL,NULL
